codeindyr,code,countryname,year,indicator,estimate,stddev,nsource,pctrank,pctranklower,pctrankupper
AFGcc1996,AFG,Afghanistan,1996,cc,-1.291704773902893,0.34050697088241577,2,4.301075458526611,0,27.419355392456055
ALBcc1996,ALB,Albania,1996,cc,-0.8939034938812256,0.3159140348434448,3,19.354839324951172,2.6881721019744873,43.0107536315918
DZAcc1996,DZA,Algeria,1996,cc,-0.5667409300804138,0.26207658648490906,4,33.33333206176758,16.66666603088379,52.68817138671875
ASMcc1996,ASM,American Samoa,1996,cc,..,..,..,..,..,..
ADOcc1996,ADO,Andorra,1996,cc,1.3181432485580444,0.480888694524765,1,87.09677124023438,72.04301452636719,96.7741928100586
AGOcc1996,AGO,Angola,1996,cc,-1.1677018404006958,0.26207658648490906,4,9.677419662475586,0.5376344323158264,27.419355392456055
AIAcc1996,AIA,Anguilla,1996,cc,..,..,..,..,..,..
ATGcc1996,ATG,Antigua and Barbuda,1996,cc,0.869897186756134,0.480888694524765,1,80.10752868652344,59.13978576660156,91.3978500366211
ARGcc1996,ARG,Argentina,1996,cc,-0.1013171523809433,0.21032509207725525,6,53.7634391784668,38.709678649902344,62.90322494506836
ARMcc1996,ARM,Armenia,1996,cc,-0.4730513095855713,0.34050697088241577,2,38.17204284667969,15.053763389587402,59.13978576660156
ABWcc1996,ABW,Aruba,1996,cc,..,..,..,..,..,..
AUScc1996,AUS,Australia,1996,cc,1.8773558139801025,0.21032509207725525,6,93.54838562011719,90.32257843017578,99.46236419677734
AUTcc1996,AUT,Austria,1996,cc,1.7321635484695435,0.21032509207725525,6,92.4731216430664,89.247314453125,96.23655700683594
AZEcc1996,AZE,Azerbaijan,1996,cc,-1.4456194639205933,0.27561381459236145,3,2.6881721019744873,0,17.204301834106445
BHScc1996,BHS,"Bahamas, The",1996,cc,1.1568101644515991,0.41814500093460083,2,83.87096405029297,69.89247131347656,93.01074981689453
BHRcc1996,BHR,Bahrain,1996,cc,0.32868868112564087,0.31221237778663635,3,63.978492736816406,50.537635803222656,77.41935729980469
BGDcc1996,BGD,Bangladesh,1996,cc,-0.9696822166442871,0.26207658648490906,4,17.74193572998047,2.6881721019744873,34.94623565673828
BRBcc1996,BRB,Barbados,1996,cc,1.5427263975143433,0.34050697088241577,2,90.86021423339844,81.18279266357422,96.7741928100586
BLRcc1996,BLR,Belarus,1996,cc,-0.389609158039093,0.34050697088241577,2,42.47311782836914,17.74193572998047,60.752689361572266
BELcc1996,BEL,Belgium,1996,cc,1.3596543073654175,0.21032509207725525,6,88.70967864990234,81.18279266357422,91.3978500366211
BLZcc1996,BLZ,Belize,1996,cc,-0.026595130562782288,0.480888694524765,1,56.45161437988281,25.268817901611328,76.34408569335938
BENcc1996,BEN,Benin,1996,cc,-0.5481148958206177,0.34050697088241577,2,34.94623565673828,13.4408597946167,57.52688217163086
BMUcc1996,BMU,Bermuda,1996,cc,1.3181432485580444,0.480888694524765,1,87.09677124023438,72.04301452636719,96.7741928100586
BTNcc1996,BTN,Bhutan,1996,cc,0.9428384900093079,0.34050697088241577,2,81.18279266357422,66.12903594970703,90.32257843017578
BOLcc1996,BOL,Bolivia,1996,cc,-0.8248291015625,0.26207658648490906,4,25.268817901611328,6.451612949371338,41.935482025146484
BIHcc1996,BIH,Bosnia and Herzegovina,1996,cc,-0.27056971192359924,0.27561381459236145,3,48.92473220825195,28.4946231842041,60.752689361572266
BWAcc1996,BWA,Botswana,1996,cc,0.8179612159729004,0.26207658648490906,4,77.41935729980469,66.12903594970703,84.94623565673828
BRAcc1996,BRA,Brazil,1996,cc,-0.018579531461000443,0.21032509207725525,6,56.9892463684082,44.086021423339844,63.440860748291016
BRNcc1996,BRN,Brunei Darussalam,1996,cc,0.4789949953556061,0.41814500093460083,2,71.50537872314453,49.462364196777344,83.87096405029297
BGRcc1996,BGR,Bulgaria,1996,cc,-0.3615051507949829,0.26207658648490906,4,44.6236572265625,25.268817901611328,59.13978576660156
BFAcc1996,BFA,Burkina Faso,1996,cc,0.11151909083127975,0.3159140348434448,3,60.21505355834961,41.397850036621094,73.11827850341797
BDIcc1996,BDI,Burundi,1996,cc,-0.6806348562240601,0.34050697088241577,2,30.645160675048828,6.9892473220825195,52.68817138671875
KHMcc1996,KHM,Cambodia,1996,cc,-1.0198423862457275,0.27561381459236145,3,16.129032135009766,2.1505377292633057,32.79570007324219
CMRcc1996,CMR,Cameroon,1996,cc,-1.3349847793579102,0.26207658648490906,4,3.7634408473968506,0,18.817203521728516
CANcc1996,CAN,Canada,1996,cc,2.031407594680786,0.21032509207725525,6,96.23655700683594,91.3978500366211,100
CPVcc1996,CPV,Cape Verde,1996,cc,1.143337368965149,0.43947985768318176,1,83.33333587646484,69.3548355102539,93.01074981689453
CYMcc1996,CYM,Cayman Islands,1996,cc,1.3181432485580444,0.480888694524765,1,87.09677124023438,72.04301452636719,96.7741928100586
CAFcc1996,CAF,Central African Republic,1996,cc,-1.140931248664856,0.34050697088241577,2,11.290322303771973,0,32.25806427001953
TCDcc1996,TCD,Chad,1996,cc,-1.380423903465271,0.34050697088241577,2,3.225806474685669,0,25.268817901611328
CHLcc1996,CHL,Chile,1996,cc,1.4541187286376953,0.21032509207725525,6,90.32257843017578,81.18279266357422,93.01074981689453
CHNcc1996,CHN,China,1996,cc,-0.27118951082229614,0.1886216253042221,7,48.3870964050293,32.25806427001953,58.602149963378906
COLcc1996,COL,Colombia,1996,cc,-0.5122543573379517,0.21032509207725525,6,36.559139251708984,23.1182804107666,50.537635803222656
COMcc1996,COM,Comoros,1996,cc,-0.9985650181770325,0.34050697088241577,2,16.66666603088379,0.5376344323158264,39.247310638427734
ZARcc1996,ZAR,"Congo, Dem. Rep.",1996,cc,-1.6478519439697266,0.3159140348434448,3,0,0,12.365591049194336
COGcc1996,COG,"Congo, Rep.",1996,cc,-0.8607403039932251,0.3159140348434448,3,23.1182804107666,3.225806474685669,45.69892501831055
COKcc1996,COK,Cook Islands,1996,cc,..,..,..,..,..,..
CRIcc1996,CRI,Costa Rica,1996,cc,0.6961424350738525,0.24490652978420258,5,75.26881408691406,63.440860748291016,81.18279266357422
HRVcc1996,HRV,Croatia,1996,cc,-0.5786900520324707,0.27561381459236145,3,32.79570007324219,15.053763389587402,52.68817138671875
CUBcc1996,CUB,Cuba,1996,cc,0.2891525328159332,0.26207658648490906,4,63.440860748291016,52.15053939819336,75.80644989013672
CYPcc1996,CYP,Cyprus,1996,cc,1.33128821849823,0.26207658648490906,4,87.63440704345703,80.6451644897461,93.01074981689453
CZEcc1996,CZE,Czech Republic,1996,cc,0.6832193732261658,0.21032509207725525,6,74.73118591308594,63.978492736816406,81.18279266357422
CIVcc1996,CIV,Côte d'Ivoire,1996,cc,-0.2605668306350708,0.26207658648490906,4,49.462364196777344,29.56989288330078,60.752689361572266
DNKcc1996,DNK,Denmark,1996,cc,2.2313079833984375,0.21032509207725525,6,100,93.54838562011719,100
DJIcc1996,DJI,Djibouti,1996,cc,-0.7199812531471252,0.34050697088241577,2,29.032258987426758,4.838709831237793,51.07526779174805
DMAcc1996,DMA,Dominica,1996,cc,0.869897186756134,0.480888694524765,1,80.10752868652344,59.13978576660156,91.3978500366211
DOMcc1996,DOM,Dominican Republic,1996,cc,-0.4229954183101654,0.26207658648490906,4,41.397850036621094,23.655914306640625,57.52688217163086
ECUcc1996,ECU,Ecuador,1996,cc,-0.6848738193511963,0.26207658648490906,4,30.107526779174805,12.903225898742676,49.462364196777344
EGYcc1996,EGY,"Egypt, Arab Rep.",1996,cc,-0.4722543954849243,0.24490652978420258,5,38.709678649902344,19.892473220825195,53.7634391784668
